gene_symbol	uniprot_id
RNF43	Q68DV7
ATM	Q13315
TGFBR2	P37173
CDKN2A	P42771
PALB2	Q86YC2
TP53	P04637
RRM2	P31350
POLD1	P28340
GNAS	P84996
RRM1	P23921
POLE	Q07864
STK11	Q15831
ACVR1B	P36896
SMAD4	Q13485
KRAS	P01116
BRCA2	P51587
BRCA1	P38398
KMT2C	Q8NEZ4
RBM10	P98175
ARID1A	O14497
PRIM1	P49642
POLD2	P49005
POLA2	Q14181
POLD4	Q9HCU8
PRIM2	P49643
POLE3	Q9NRF9
POLD3	Q15054
POLE2	P56282
RRM2B	Q7LG56
ACVR2A	P27037
ERBB4	Q15303
RAF1	P04049
PTPRT	O14522
LRP1B	Q9NZR2
POLA1	P09884
KDM6A	O15550
BRIP1	Q9BX63
CHEK2	O96017
KMT2D	O14686
MAP2K4	P45985
CDH11	P55287
CDK6	Q00534
FANCE	Q9HB96
RBBP8	Q99708
ACVR1	Q04771
SND1	Q7KZF4
AFF3	P51826
ZBTB16	Q05516
CUX1	P39880
ZFHX3	Q15911
ZNF521	Q96K83
CDC73	Q6P1J9
NBN	O60934
NR5A2	O00482
EGFR	P00533
MECOM	Q03112
FGFR2	P21802
CACNA1D	Q01668
NRG1	Q02297
EXT1	Q16394
EXT2	Q93063
HIP1	O00291
LEF1	Q9UJU2
PREX2	Q70Z35
GRIN2A	Q12879
MAP3K13	O43283
SMAD3	P84022
KIT	P10721
TOP1	P11387
NTRK3	Q16288
ABO	P16442
NCOR1	O75376
PTPRK	Q15262
NFATC2	Q13469
PDGFRB	P09619
ESR1	P03372
CAMTA1	Q9Y6Y1
ARID1B	Q8NFD5
TYMS	P04818
FHIT	P49789
MSI2	Q96DH6
MAML2	Q8IZL2
GPC3	P51654
SETBP1	Q9Y6X0
CARD11	Q9BXL7
QKI	Q96PU8
LPP	Q93052
NTRK2	Q16620
MLLT10	P55197
FOXP1	Q9H334
PTPRC	P08575
MITF	O75030
BMPR1A	P36894
RAD51B	O15315
EBF1	Q9UH73
ABL2	P42684
AR	P10275
CLTCL1	P53675
ARHGAP26	Q9UNA1
