gene_symbol,uniprot_id,disease_id,disease_name,score,source
KRAS,P01116,DOID:1793,Pancreatic ductal adenocarcinoma,0.8156,OpenTargets
TP53,P04637,DOID:1793,Pancreatic ductal adenocarcinoma,0.8077,OpenTargets
SMAD4,Q13485,DOID:1793,Pancreatic ductal adenocarcinoma,0.7851,OpenTargets
PALB2,Q86YC2,DOID:1793,Pancreatic ductal adenocarcinoma,0.7847,OpenTargets
BRCA2,P51587,DOID:1793,Pancreatic ductal adenocarcinoma,0.7734,OpenTargets
STK11,Q15831,DOID:1793,Pancreatic ductal adenocarcinoma,0.7593,OpenTargets
CDKN2A,P42771,DOID:1793,Pancreatic ductal adenocarcinoma,0.7295,OpenTargets
POLD1,P28340,DOID:1793,Pancreatic ductal adenocarcinoma,0.7209,OpenTargets
ATM,Q13315,DOID:1793,Pancreatic ductal adenocarcinoma,0.6984,OpenTargets
BRCA1,P38398,DOID:1793,Pancreatic ductal adenocarcinoma,0.6803,OpenTargets
RNF43,Q68DV7,DOID:1793,Pancreatic ductal adenocarcinoma,0.6803,OpenTargets
POLE,Q07864,DOID:1793,Pancreatic ductal adenocarcinoma,0.676,OpenTargets
ARID1A,O14497,DOID:1793,Pancreatic ductal adenocarcinoma,0.6499,OpenTargets
TGFBR2,P37173,DOID:1793,Pancreatic ductal adenocarcinoma,0.6251,OpenTargets
ACVR1B,P36896,DOID:1793,Pancreatic ductal adenocarcinoma,0.6222,OpenTargets
GNAS,P84996,DOID:1793,Pancreatic ductal adenocarcinoma,0.6118,OpenTargets
KMT2C,Q8NEZ4,DOID:1793,Pancreatic ductal adenocarcinoma,0.6,OpenTargets
RRM2,P31350,DOID:1793,Pancreatic ductal adenocarcinoma,0.5887,OpenTargets
RBM10,P98175,DOID:1793,Pancreatic ductal adenocarcinoma,0.5876,OpenTargets
RRM1,P23921,DOID:1793,Pancreatic ductal adenocarcinoma,0.5849,OpenTargets
POLD2,P49005,DOID:1793,Pancreatic ductal adenocarcinoma,0.5839,OpenTargets
PRIM2,P49643,DOID:1793,Pancreatic ductal adenocarcinoma,0.583,OpenTargets
POLD4,Q9HCU8,DOID:1793,Pancreatic ductal adenocarcinoma,0.5817,OpenTargets
POLE2,P56282,DOID:1793,Pancreatic ductal adenocarcinoma,0.5806,OpenTargets
RRM2B,Q7LG56,DOID:1793,Pancreatic ductal adenocarcinoma,0.5802,OpenTargets
PRIM1,P49642,DOID:1793,Pancreatic ductal adenocarcinoma,0.5802,OpenTargets
