source,target,edge_key,edge_type,pchembl_value,combined_score,ot_score,source_db
P01116,DOID:1793,0,gene-disease,,,0.8156,OpenTargets
P01116,P27037,0,protein-protein,,448,,STRING
P01116,P36896,0,protein-protein,,401,,STRING
P01116,P23921,0,protein-protein,,413,,STRING
P01116,P28340,0,protein-protein,,453,,STRING
P01116,P98175,0,protein-protein,,482,,STRING
P01116,P45985,0,protein-protein,,504,,STRING
P01116,Q86YC2,0,protein-protein,,516,,STRING
P01116,O96017,0,protein-protein,,536,,STRING
P01116,O14686,0,protein-protein,,546,,STRING
P01116,Q9NZR2,0,protein-protein,,546,,STRING
P01116,O15550,0,protein-protein,,562,,STRING
P01116,Q00534,0,protein-protein,,636,,STRING
P01116,P37173,0,protein-protein,,648,,STRING
P01116,Q68DV7,0,protein-protein,,670,,STRING
P01116,Q07864,0,protein-protein,,680,,STRING
P01116,Q13315,0,protein-protein,,718,,STRING
P01116,P38398,0,protein-protein,,721,,STRING
P01116,P51587,0,protein-protein,,721,,STRING
P01116,Q8NEZ4,0,protein-protein,,756,,STRING
P01116,P84996,0,protein-protein,,792,,STRING
P01116,Q15303,0,protein-protein,,862,,STRING
P01116,O14497,0,protein-protein,,873,,STRING
P01116,Q15831,0,protein-protein,,880,,STRING
P01116,Q13485,0,protein-protein,,917,,STRING
P01116,P04637,0,protein-protein,,949,,STRING
P01116,P21802,0,protein-protein,,973,,STRING
P01116,P42771,0,protein-protein,,992,,STRING
P01116,P00533,0,protein-protein,,997,,STRING
P01116,P04049,0,protein-protein,,999,,STRING
P04637,DOID:1793,0,gene-disease,,,0.8077,OpenTargets
P04637,Q7LG56,0,protein-protein,,992,,STRING
P04637,P01116,0,protein-protein,,949,,STRING
P04637,Q9BX63,0,protein-protein,,645,,STRING
P04637,Q86YC2,0,protein-protein,,738,,STRING
P04637,Q8NEZ4,0,protein-protein,,858,,STRING
P04637,O60934,0,protein-protein,,763,,STRING
P04637,Q00534,0,protein-protein,,808,,STRING
P04637,P09884,0,protein-protein,,434,,STRING
P04637,P39880,0,protein-protein,,444,,STRING
P04637,P23921,0,protein-protein,,475,,STRING
P04637,P45985,0,protein-protein,,575,,STRING
P04637,P28340,0,protein-protein,,592,,STRING
P04637,Q9NZR2,0,protein-protein,,593,,STRING
P04637,P04049,0,protein-protein,,605,,STRING
P04637,P37173,0,protein-protein,,618,,STRING
P04637,P98175,0,protein-protein,,634,,STRING
P04637,P21802,0,protein-protein,,662,,STRING
P04637,Q68DV7,0,protein-protein,,692,,STRING
P04637,Q07864,0,protein-protein,,697,,STRING
P04637,Q99708,0,protein-protein,,699,,STRING
P04637,O15550,0,protein-protein,,710,,STRING
P04637,Q15303,0,protein-protein,,726,,STRING
P04637,P31350,0,protein-protein,,803,,STRING
P04637,O14686,0,protein-protein,,810,,STRING
P04637,P84996,0,protein-protein,,810,,STRING
P04637,Q13485,0,protein-protein,,875,,STRING
P04637,P00533,0,protein-protein,,943,,STRING
P04637,O14497,0,protein-protein,,961,,STRING
P04637,Q15831,0,protein-protein,,970,,STRING
P04637,P51587,0,protein-protein,,995,,STRING
P04637,Q13315,0,protein-protein,,999,,STRING
P04637,O96017,0,protein-protein,,999,,STRING
P04637,P38398,0,protein-protein,,999,,STRING
P04637,P42771,0,protein-protein,,999,,STRING
Q13485,DOID:1793,0,gene-disease,,,0.7851,OpenTargets
Q13485,P27037,0,protein-protein,,894,,STRING
Q13485,P01116,0,protein-protein,,917,,STRING
Q13485,Q86YC2,0,protein-protein,,545,,STRING
Q13485,Q8NEZ4,0,protein-protein,,534,,STRING
Q13485,Q00534,0,protein-protein,,465,,STRING
Q13485,P04637,0,protein-protein,,875,,STRING
Q13485,P00533,0,protein-protein,,735,,STRING
Q13485,Q13315,0,protein-protein,,654,,STRING
Q13485,O14497,0,protein-protein,,676,,STRING
Q13485,Q07864,0,protein-protein,,584,,STRING
Q13485,Q15831,0,protein-protein,,847,,STRING
Q13485,Q9NZR2,0,protein-protein,,411,,STRING
Q13485,O15550,0,protein-protein,,439,,STRING
Q13485,O96017,0,protein-protein,,472,,STRING
Q13485,P45985,0,protein-protein,,539,,STRING
Q13485,P28340,0,protein-protein,,554,,STRING
Q13485,P38398,0,protein-protein,,596,,STRING
Q13485,P21802,0,protein-protein,,605,,STRING
Q13485,Q15303,0,protein-protein,,630,,STRING
Q13485,Q68DV7,0,protein-protein,,645,,STRING
Q13485,P51587,0,protein-protein,,672,,STRING
Q13485,P84996,0,protein-protein,,692,,STRING
Q13485,P42771,0,protein-protein,,851,,STRING
Q13485,Q04771,0,protein-protein,,860,,STRING
Q13485,P36896,0,protein-protein,,957,,STRING
Q13485,P37173,0,protein-protein,,996,,STRING
Q86YC2,DOID:1793,0,gene-disease,,,0.7847,OpenTargets
Q86YC2,P56282,0,protein-protein,,531,,STRING
Q86YC2,Q9HB96,0,protein-protein,,884,,STRING
Q86YC2,P01116,0,protein-protein,,516,,STRING
Q86YC2,Q9BX63,0,protein-protein,,998,,STRING
Q86YC2,Q9HCU8,0,protein-protein,,400,,STRING
Q86YC2,Q68DV7,0,protein-protein,,402,,STRING
Q86YC2,Q8NEZ4,0,protein-protein,,407,,STRING
Q86YC2,Q9NRF9,0,protein-protein,,482,,STRING
Q86YC2,O15550,0,protein-protein,,507,,STRING
Q86YC2,O14497,0,protein-protein,,513,,STRING
Q86YC2,P49005,0,protein-protein,,523,,STRING
Q86YC2,Q13485,0,protein-protein,,545,,STRING
Q86YC2,Q15054,0,protein-protein,,655,,STRING
Q86YC2,P42771,0,protein-protein,,664,,STRING
Q86YC2,P04637,0,protein-protein,,738,,STRING
Q86YC2,Q07864,0,protein-protein,,764,,STRING
Q86YC2,O60934,0,protein-protein,,801,,STRING
Q86YC2,P28340,0,protein-protein,,805,,STRING
Q86YC2,Q15831,0,protein-protein,,843,,STRING
Q86YC2,O96017,0,protein-protein,,921,,STRING
Q86YC2,Q13315,0,protein-protein,,945,,STRING
Q86YC2,Q99708,0,protein-protein,,953,,STRING
Q86YC2,P38398,0,protein-protein,,999,,STRING
Q86YC2,P51587,0,protein-protein,,999,,STRING
P51587,DOID:1793,0,gene-disease,,,0.7734,OpenTargets
P51587,P56282,0,protein-protein,,634,,STRING
P51587,Q9HB96,0,protein-protein,,899,,STRING
P51587,P01116,0,protein-protein,,721,,STRING
P51587,Q9BX63,0,protein-protein,,998,,STRING
P51587,Q86YC2,0,protein-protein,,999,,STRING
P51587,Q8NEZ4,0,protein-protein,,582,,STRING
P51587,Q15054,0,protein-protein,,667,,STRING
P51587,O60934,0,protein-protein,,901,,STRING
P51587,Q00534,0,protein-protein,,490,,STRING
P51587,P04637,0,protein-protein,,995,,STRING
P51587,P00533,0,protein-protein,,678,,STRING
P51587,Q13315,0,protein-protein,,995,,STRING
P51587,O14686,0,protein-protein,,450,,STRING
P51587,Q9HCU8,0,protein-protein,,419,,STRING
P51587,O14497,0,protein-protein,,663,,STRING
P51587,Q07864,0,protein-protein,,849,,STRING
P51587,Q15831,0,protein-protein,,830,,STRING
P51587,Q13485,0,protein-protein,,672,,STRING
P51587,Q15303,0,protein-protein,,429,,STRING
P51587,P37173,0,protein-protein,,431,,STRING
P51587,P84996,0,protein-protein,,447,,STRING
P51587,Q9NRF9,0,protein-protein,,495,,STRING
P51587,P09884,0,protein-protein,,457,,STRING
P51587,P36896,0,protein-protein,,438,,STRING
P51587,Q68DV7,0,protein-protein,,471,,STRING
P51587,P49005,0,protein-protein,,502,,STRING
P51587,P45985,0,protein-protein,,562,,STRING
P51587,P21802,0,protein-protein,,581,,STRING
P51587,P42771,0,protein-protein,,806,,STRING
P51587,P28340,0,protein-protein,,896,,STRING
P51587,Q99708,0,protein-protein,,983,,STRING
P51587,O96017,0,protein-protein,,985,,STRING
P51587,P38398,0,protein-protein,,999,,STRING
Q15831,DOID:1793,0,gene-disease,,,0.7593,OpenTargets
Q15831,P01116,0,protein-protein,,880,,STRING
Q15831,Q86YC2,0,protein-protein,,843,,STRING
Q15831,Q8NEZ4,0,protein-protein,,521,,STRING
Q15831,P04637,0,protein-protein,,970,,STRING
Q15831,Q13315,0,protein-protein,,890,,STRING
Q15831,O14686,0,protein-protein,,466,,STRING
Q15831,O14497,0,protein-protein,,573,,STRING
Q15831,Q07864,0,protein-protein,,607,,STRING
Q15831,P98175,0,protein-protein,,465,,STRING
Q15831,Q68DV7,0,protein-protein,,502,,STRING
Q15831,P28340,0,protein-protein,,586,,STRING
Q15831,Q15303,0,protein-protein,,594,,STRING
Q15831,P84996,0,protein-protein,,595,,STRING
Q15831,P38398,0,protein-protein,,740,,STRING
Q15831,P42771,0,protein-protein,,824,,STRING
Q15831,P51587,0,protein-protein,,830,,STRING
Q15831,Q13485,0,protein-protein,,847,,STRING
P42771,DOID:1793,0,gene-disease,,,0.7295,OpenTargets
P42771,Q9HB96,0,protein-protein,,492,,STRING
P42771,P01116,0,protein-protein,,992,,STRING
P42771,Q86YC2,0,protein-protein,,664,,STRING
P42771,Q8NEZ4,0,protein-protein,,599,,STRING
P42771,Q00534,0,protein-protein,,999,,STRING
P42771,P04637,0,protein-protein,,999,,STRING
P42771,P00533,0,protein-protein,,910,,STRING
P42771,Q13315,0,protein-protein,,847,,STRING
P42771,O14686,0,protein-protein,,599,,STRING
P42771,O14497,0,protein-protein,,720,,STRING
P42771,Q07864,0,protein-protein,,512,,STRING
P42771,Q15831,0,protein-protein,,824,,STRING
P42771,Q13485,0,protein-protein,,851,,STRING
