node_id,node_type,gene_symbol,name,uniprot_id,chembl_id,ot_score
DOID:1793,Disease,,Pancreatic ductal adenocarcinoma,,,
P01116,Protein,KRAS,,P01116,,0.8156
P04637,Protein,TP53,,P04637,,0.8077
Q13485,Protein,SMAD4,,Q13485,,0.7851
Q86YC2,Protein,PALB2,,Q86YC2,,0.7847
P51587,Protein,BRCA2,,P51587,,0.7734
Q15831,Protein,STK11,,Q15831,,0.7593
P42771,Protein,CDKN2A,,P42771,,0.7295
P28340,Protein,POLD1,,P28340,,0.7209
Q13315,Protein,ATM,,Q13315,,0.6984
P38398,Protein,BRCA1,,P38398,,0.6803
Q68DV7,Protein,RNF43,,Q68DV7,,0.6803
Q07864,Protein,POLE,,Q07864,,0.676
O14497,Protein,ARID1A,,O14497,,0.6499
P37173,Protein,TGFBR2,,P37173,,0.6251
P36896,Protein,ACVR1B,,P36896,,0.6222
P84996,Protein,GNAS,,P84996,,0.6118
Q8NEZ4,Protein,KMT2C,,Q8NEZ4,,0.6
P31350,Protein,RRM2,,P31350,,0.5887
P98175,Protein,RBM10,,P98175,,0.5876
P23921,Protein,RRM1,,P23921,,0.5849
P49005,Protein,POLD2,,P49005,,0.5839
P49643,Protein,PRIM2,,P49643,,0.583
Q9HCU8,Protein,POLD4,,Q9HCU8,,0.5817
P56282,Protein,POLE2,,P56282,,0.5806
Q7LG56,Protein,RRM2B,,Q7LG56,,0.5802
P49642,Protein,PRIM1,,P49642,,0.5802
Q9NRF9,Protein,POLE3,,Q9NRF9,,0.5802
Q14181,Protein,POLA2,,Q14181,,0.5802
Q15054,Protein,POLD3,,Q15054,,0.5802
P09884,Protein,POLA1,,P09884,,0.5802
O96017,Protein,CHEK2,,O96017,,0.577
O15550,Protein,KDM6A,,O15550,,0.5687
Q9BX63,Protein,BRIP1,,Q9BX63,,0.5673
Q15303,Protein,ERBB4,,Q15303,,0.5655
P45985,Protein,MAP2K4,,P45985,,0.5646
P27037,Protein,ACVR2A,,P27037,,0.5593
O14522,Protein,PTPRT,,O14522,,0.5478
Q9NZR2,Protein,LRP1B,,Q9NZR2,,0.5463
P04049,Protein,RAF1,,P04049,,0.5454
O14686,Protein,KMT2D,,O14686,,0.5372
P39880,Protein,CUX1,,P39880,,0.5269
P21802,Protein,FGFR2,,P21802,,0.5249
P00533,Protein,EGFR,,P00533,,0.5206
O60934,Protein,NBN,,O60934,,0.5115
Q99708,Protein,RBBP8,,Q99708,,0.5083
Q04771,Protein,ACVR1,,Q04771,,0.5077
C11orf65,Protein,C11orf65,,C11orf65,,0.507
Q15911,Protein,ZFHX3,,Q15911,,0.5043
Q9HB96,Protein,FANCE,,Q9HB96,,0.5018
Q00534,Protein,CDK6,,Q00534,,0.4957
Q03112,Protein,MECOM,,Q03112,,0.4945
Q7KZF4,Protein,SND1,,Q7KZF4,,0.4943
Q96K83,Protein,ZNF521,,Q96K83,,0.4938
P51826,Protein,AFF3,,P51826,,0.4935
O00482,Protein,NR5A2,,O00482,,0.4934
Q01668,Protein,CACNA1D,,Q01668,,0.4933
Q02297,Protein,NRG1,,Q02297,,0.4861
P55287,Protein,CDH11,,P55287,,0.4851
Q05516,Protein,ZBTB16,,Q05516,,0.4834
Q6P1J9,Protein,CDC73,,Q6P1J9,,0.4832
Q70Z35,Protein,PREX2,,Q70Z35,,0.483
Q16288,Protein,NTRK3,,Q16288,,0.4829
P03372,Protein,ESR1,,P03372,,0.4827
Q9Y6Y1,Protein,CAMTA1,,Q9Y6Y1,,0.4825
Q93063,Protein,EXT2,,Q93063,,0.4825
Q15262,Protein,PTPRK,,Q15262,,0.4825
Q16394,Protein,EXT1,,Q16394,,0.4825
O43283,Protein,MAP3K13,,O43283,,0.4812
P10721,Protein,KIT,,P10721,,0.4799
P11387,Protein,TOP1,,P11387,,0.4795
P09619,Protein,PDGFRB,,P09619,,0.4783
P04818,Protein,TYMS,,P04818,,0.478
P16442,Protein,ABO,,P16442,,0.4771
Q8NFD5,Protein,ARID1B,,Q8NFD5,,0.4766
P84022,Protein,SMAD3,,P84022,,0.4762
Q9UJU2,Protein,LEF1,,Q9UJU2,,0.4732
Q13469,Protein,NFATC2,,Q13469,,0.4719
O75376,Protein,NCOR1,,O75376,,0.4715
O00291,Protein,HIP1,,O00291,,0.4701
Q12879,Protein,GRIN2A,,Q12879,,0.47
P55197,Protein,MLLT10,,P55197,,0.4697
Q96PU8,Protein,QKI,,Q96PU8,,0.4697
Q9H334,Protein,FOXP1,,Q9H334,,0.4684
P51654,Protein,GPC3,,P51654,,0.4677
P49789,Protein,FHIT,,P49789,,0.4664
P08575,Protein,PTPRC,,P08575,,0.4656
Q8IZL2,Protein,MAML2,,Q8IZL2,,0.4642
O15315,Protein,RAD51B,,O15315,,0.4641
Q93052,Protein,LPP,,Q93052,,0.4638
Q16620,Protein,NTRK2,,Q16620,,0.4637
Q96DH6,Protein,MSI2,,Q96DH6,,0.4635
Q9UNA1,Protein,ARHGAP26,,Q9UNA1,,0.4632
Q9UH73,Protein,EBF1,,Q9UH73,,0.4626
Q9Y6X0,Protein,SETBP1,,Q9Y6X0,,0.4622
P36894,Protein,BMPR1A,,P36894,,0.462
P10275,Protein,AR,,P10275,,0.4618
P42684,Protein,ABL2,,P42684,,0.4612
O75030,Protein,MITF,,O75030,,0.4598
Q9BXL7,Protein,CARD11,,Q9BXL7,,0.4594
P53675,Protein,CLTCL1,,P53675,,0.4594
CHEMBL1421,Drug,,Erlotinib,,CHEMBL1421,
P04626,Protein,ERBB2,,P04626,,0.0
CHEMBL2153184,Drug,,Osimertinib,,CHEMBL2153184,
CHEMBL1213492,Drug,,Gemcitabine,,CHEMBL1213492,
CHEMBL472,Drug,,Imatinib,,CHEMBL472,
P08581,Protein,MET,,P08581,,0.0
CHEMBL888,Drug,,Sorafenib,,CHEMBL888,
P15056,Protein,BRAF,,P15056,,0.0
P15692,Protein,VEGFA,,P15692,,0.0
CHEMBL1229517,Drug,,Everolimus,,CHEMBL1229517,
P42345,Protein,MTOR,,P42345,,0.0
P31749,Protein,AKT1,,P31749,,0.0
CHEMBL3707323,Drug,,Olaparib,,CHEMBL3707323,
CHEMBL25,Drug,,Aspirin,,CHEMBL25,
P35354,Protein,PTGS2,,P35354,,0.0
CHEMBL185698,Drug,,Niraparib,,CHEMBL185698,
CHEMBL3545210,Drug,,Palbociclib,,CHEMBL3545210,
P11802,Protein,CDK4,,P11802,,0.0
P52564,Protein,CDK6,,P52564,,0.0
