protein_a,protein_b,string_id_a,string_id_b,combined_score,coexpression,experimental,database,textmining,source
POLE2,NBN,9606.ENSP00000216367,9606.ENSP00000265433,419,0,0,0,0,STRING
POLE2,RRM1,9606.ENSP00000216367,9606.ENSP00000300738,433,0,0,0,0,STRING
POLE2,CHEK2,9606.ENSP00000216367,9606.ENSP00000372023,445,0,0,0,0,STRING
POLE2,ATM,9606.ENSP00000216367,9606.ENSP00000278616,510,0,0,0,0,STRING
POLE2,RBBP8,9606.ENSP00000216367,9606.ENSP00000382628,514,0,0,0,0,STRING
POLE2,PALB2,9606.ENSP00000216367,9606.ENSP00000261584,531,0,0,0,0,STRING
POLE2,BRIP1,9606.ENSP00000216367,9606.ENSP00000259008,600,0,0,0,0,STRING
POLE2,RRM2,9606.ENSP00000216367,9606.ENSP00000353770,600,0,0,0,0,STRING
POLE2,BRCA2,9606.ENSP00000216367,9606.ENSP00000369497,634,0,0,0,0,STRING
POLE2,BRCA1,9606.ENSP00000216367,9606.ENSP00000418960,702,0,0,0,0,STRING
POLE2,POLD4,9606.ENSP00000216367,9606.ENSP00000311368,730,0,0,0,0,STRING
POLE2,POLD3,9606.ENSP00000216367,9606.ENSP00000263681,961,0,0,0,0,STRING
POLE2,PRIM2,9606.ENSP00000216367,9606.ENSP00000484105,986,0,0,0,0,STRING
POLE2,PRIM1,9606.ENSP00000216367,9606.ENSP00000350491,986,0,0,0,0,STRING
POLE2,POLD2,9606.ENSP00000216367,9606.ENSP00000480186,987,0,0,0,0,STRING
POLE2,POLA2,9606.ENSP00000216367,9606.ENSP00000265465,991,0,0,0,0,STRING
POLE2,POLD1,9606.ENSP00000216367,9606.ENSP00000472445,992,0,0,0,0,STRING
POLE2,POLA1,9606.ENSP00000216367,9606.ENSP00000368358,996,0,0,0,0,STRING
POLE2,POLE3,9606.ENSP00000216367,9606.ENSP00000363286,999,0,0,0,0,STRING
POLE2,POLE,9606.ENSP00000216367,9606.ENSP00000322570,999,0,0,0,0,STRING
FANCE,POLE,9606.ENSP00000229769,9606.ENSP00000322570,413,0,0,0,0,STRING
FANCE,POLD1,9606.ENSP00000229769,9606.ENSP00000472445,477,0,0,0,0,STRING
FANCE,CDKN2A,9606.ENSP00000229769,9606.ENSP00000418915,492,0,0,0,0,STRING
FANCE,KDM6A,9606.ENSP00000229769,9606.ENSP00000367203,498,0,0,0,0,STRING
FANCE,ATM,9606.ENSP00000229769,9606.ENSP00000278616,651,0,0,0,0,STRING
FANCE,CHEK2,9606.ENSP00000229769,9606.ENSP00000372023,712,0,0,0,0,STRING
FANCE,PALB2,9606.ENSP00000229769,9606.ENSP00000261584,884,0,0,0,0,STRING
FANCE,BRIP1,9606.ENSP00000229769,9606.ENSP00000259008,895,0,0,0,0,STRING
FANCE,BRCA2,9606.ENSP00000229769,9606.ENSP00000369497,899,0,0,0,0,STRING
