gene_id,gene_symbol,gene_name,score,disease_id,disease_name,source
ENSG00000133703,KRAS,"KRAS proto-oncogene, GTPase",0.8156,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000141510,TP53,tumor protein p53,0.8077,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000141646,SMAD4,SMAD family member 4,0.7851,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000083093,PALB2,partner and localizer of BRCA2,0.7847,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000139618,BRCA2,BRCA2 DNA repair associated,0.7734,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000118046,STK11,serine/threonine kinase 11,0.7593,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000147889,CDKN2A,cyclin dependent kinase inhibitor 2A,0.7295,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000062822,POLD1,"DNA polymerase delta 1, catalytic subunit",0.7209,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000149311,ATM,ATM serine/threonine kinase,0.6984,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000012048,BRCA1,BRCA1 DNA repair associated,0.6803,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000108375,RNF43,ring finger protein 43,0.6803,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000177084,POLE,"DNA polymerase epsilon, catalytic subunit",0.676,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000117713,ARID1A,AT-rich interaction domain 1A,0.6499,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000163513,TGFBR2,transforming growth factor beta receptor 2,0.6251,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000135503,ACVR1B,activin A receptor type 1B,0.6222,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000087460,GNAS,GNAS complex locus,0.6118,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000055609,KMT2C,lysine methyltransferase 2C,0.6,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000171848,RRM2,ribonucleotide reductase regulatory subunit M2,0.5887,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000182872,RBM10,RNA binding motif protein 10,0.5876,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000167325,RRM1,ribonucleotide reductase catalytic subunit M1,0.5849,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000106628,POLD2,"DNA polymerase delta 2, accessory subunit",0.5839,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000146143,PRIM2,DNA primase subunit 2,0.583,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000175482,POLD4,"DNA polymerase delta 4, accessory subunit",0.5817,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000100479,POLE2,"DNA polymerase epsilon 2, accessory subunit",0.5806,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000048392,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B,0.5802,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000198056,PRIM1,DNA primase subunit 1,0.5802,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000148229,POLE3,"DNA polymerase epsilon 3, accessory subunit",0.5802,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000014138,POLA2,"DNA polymerase alpha 2, accessory subunit",0.5802,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000077514,POLD3,"DNA polymerase delta 3, accessory subunit",0.5802,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000101868,POLA1,"DNA polymerase alpha 1, catalytic subunit",0.5802,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000183765,CHEK2,checkpoint kinase 2,0.577,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000147050,KDM6A,lysine demethylase 6A,0.5687,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000136492,BRIP1,BRCA1 interacting DNA helicase 1,0.5673,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000178568,ERBB4,erb-b2 receptor tyrosine kinase 4,0.5655,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000065559,MAP2K4,mitogen-activated protein kinase kinase 4,0.5646,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000121989,ACVR2A,activin A receptor type 2A,0.5593,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000196090,PTPRT,protein tyrosine phosphatase receptor type T,0.5478,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000168702,LRP1B,LDL receptor related protein 1B,0.5463,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000132155,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",0.5454,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000167548,KMT2D,lysine methyltransferase 2D,0.5372,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000257923,CUX1,cut like homeobox 1,0.5269,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000066468,FGFR2,fibroblast growth factor receptor 2,0.5249,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000146648,EGFR,epidermal growth factor receptor,0.5206,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000104320,NBN,nibrin,0.5115,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000101773,RBBP8,"RB binding protein 8, endonuclease",0.5083,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000115170,ACVR1,activin A receptor type 1,0.5077,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000166323,C11orf65,chromosome 11 open reading frame 65,0.507,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000140836,ZFHX3,zinc finger homeobox 3,0.5043,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000112039,FANCE,FA complementation group E,0.5018,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000105810,CDK6,cyclin dependent kinase 6,0.4957,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000085276,MECOM,MDS1 and EVI1 complex locus,0.4945,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000197157,SND1,staphylococcal nuclease and tudor domain containing 1,0.4943,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000198795,ZNF521,zinc finger protein 521,0.4938,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000144218,AFF3,ALF transcription elongation factor 3,0.4935,EFO_0002618,pancreatic carcinoma,OpenTargets
ENSG00000116833,NR5A2,nuclear receptor subfamily 5 group A member 2,0.4934,EFO_0002618,pancreatic carcinoma,OpenTargets
